Country,Confederation,World Rank,Attack,Defense,P,GF,GA,Clean_Sheets,WC_P,WC_GF,WC_GA
Japan,AFC,28,1,1,0,0,0,0,0,0,0
Iran,AFC,22,1,1,0,0,0,0,0,0,0
South Korea,AFC,35,1,1,0,0,0,0,0,0,0
Australia,AFC,34,1,1,0,0,0,0,0,0,0
Qatar,AFC,46,1,1,0,0,0,0,0,0,0
Saudi Arabia,AFC,49,1,1,0,0,0,0,0,0,0
Iraq,AFC,72,1,1,0,0,0,0,0,0,0
UAE,AFC,71,1,1,0,0,0,0,0,0,0
China,AFC,75,1,1,0,0,0,0,0,0,0
Syria,AFC,85,1,1,0,0,0,0,0,0,0
Oman,AFC,77,1,1,0,0,0,0,0,0,0
Uzbekistan,AFC,84,1,1,0,0,0,0,0,0,0
Lebanon,AFC,92,1,1,0,0,0,0,0,0,0
Vietnam,AFC,98,1,1,0,0,0,0,0,0,0
Jordan,AFC,90,1,1,0,0,0,0,0,0,0
Kyrgyzstan,AFC,96,1,1,0,0,0,0,0,0,0
Bahrain,AFC,91,1,1,0,0,0,0,0,0,0
Palestine,AFC,100,1,1,0,0,0,0,0,0,0
India,AFC,106,1,1,0,0,0,0,0,0,0
Thailand,AFC,117,1,1,0,0,0,0,0,0,0
North Korea,AFC,110,1,1,0,0,0,0,0,0,0
Tajikistan,AFC,114,1,1,0,0,0,0,0,0,0
Philippines,AFC,127,1,1,0,0,0,0,0,0,0
Turkmenistan,AFC,131,1,1,0,0,0,0,0,0,0
Myanmar,AFC,145,1,1,0,0,0,0,0,0,0
Taipei,AFC,158,1,1,0,0,0,0,0,0,0
Hong Kong,AFC,148,1,1,0,0,0,0,0,0,0
Yemen,AFC,151,1,1,0,0,0,0,0,0,0
Kuwait,AFC,142,1,1,0,0,0,0,0,0,0
Afghanistan,AFC,152,1,1,0,0,0,0,0,0,0
Malaysia,AFC,155,1,1,0,0,0,0,0,0,0
Maldives,AFC,156,1,1,0,0,0,0,0,0,0
Singapore,AFC,160,1,1,0,0,0,0,0,0,0
Nepal,AFC,169,1,1,0,0,0,0,0,0,0
Cambodia,AFC,170,1,1,0,0,0,0,0,0,0
Indonesia,AFC,165,1,1,0,0,0,0,0,0,0
Macau,AFC,182,1,1,0,0,0,0,0,0,0
Bangladesh,AFC,187,1,1,0,0,0,0,0,0,0
Laos,AFC,185,1,1,0,0,0,0,0,0,0
Bhutan,AFC,186,1,1,0,0,0,0,0,0,0
Mongolia,AFC,184,1,1,0,0,0,0,0,0,0
Brunei,AFC,189,1,1,0,0,0,0,0,0,0
Timor-Leste,AFC,194,1,1,0,0,0,0,0,0,0
Guam,AFC,206,1,1,0,0,0,0,0,0,0
Pakistan,AFC,197,1,1,0,0,0,0,0,0,0
Sri Lanka,AFC,204,1,1,0,0,0,0,0,0,0
Senegal,CAF,20,1,1,0,0,0,0,0,0,0
Tunisia,CAF,27,1,1,0,0,0,0,0,0,0
Algeria,CAF,30,1,1,0,0,0,0,0,0,0
Morocco,CAF,29,1,1,0,0,0,0,0,0,0
Nigeria,CAF,36,1,1,0,0,0,0,0,0,0
Egypt,CAF,44,1,1,0,0,0,0,0,0,0
Cameroon,CAF,54,1,1,0,0,0,0,0,0,0
Ghana,CAF,52,1,1,0,0,0,0,0,0,0
Mali,CAF,57,1,1,0,0,0,0,0,0,0
Burkina Faso,CAF,61,1,1,0,0,0,0,0,0,0
Congo DR,CAF,67,1,1,0,0,0,0,0,0,0
Ivory Coast,CAF,53,1,1,0,0,0,0,0,0,0
South Africa,CAF,66,1,1,0,0,0,0,0,0,0
Guinea,CAF,79,1,1,0,0,0,0,0,0,0
Uganda,CAF,82,1,1,0,0,0,0,0,0,0
Cabo Verde,CAF,76,1,1,0,0,0,0,0,0,0
Benin,CAF,83,1,1,0,0,0,0,0,0,0
Gabon,CAF,88,1,1,0,0,0,0,0,0,0
Zambia,CAF,87,1,1,0,0,0,0,0,0,0
Congo,CAF,97,1,1,0,0,0,0,0,0,0
Madagascar,CAF,99,1,1,0,0,0,0,0,0,0
Mauritania,CAF,102,1,1,0,0,0,0,0,0,0
Kenya,CAF,104,1,1,0,0,0,0,0,0,0
Mozambique,CAF,122,1,1,0,0,0,0,0,0,0
Zimbabwe,CAF,118,1,1,0,0,0,0,0,0,0
Libya,CAF,112,1,1,0,0,0,0,0,0,0
Niger,CAF,121,1,1,0,0,0,0,0,0,0
Central African Republic,CAF,115,1,1,0,0,0,0,0,0,0
Sierra Leone,CAF,107,1,1,0,0,0,0,0,0,0
Namibia,CAF,108,1,1,0,0,0,0,0,0,0
Guinea-Bissau,CAF,109,1,1,0,0,0,0,0,0,0
Malawi,CAF,120,1,1,0,0,0,0,0,0,0
Angola,CAF,129,1,1,0,0,0,0,0,0,0
Sudan,CAF,123,1,1,0,0,0,0,0,0,0
Togo,CAF,134,1,1,0,0,0,0,0,0,0
Comoros,CAF,132,1,1,0,0,0,0,0,0,0
Rwanda,CAF,133,1,1,0,0,0,0,0,0,0
Equatorial Guinea,CAF,126,1,1,0,0,0,0,0,0,0
Tanzania,CAF,130,1,1,0,0,0,0,0,0,0
Burundi,CAF,141,1,1,0,0,0,0,0,0,0
Lesotho,CAF,144,1,1,0,0,0,0,0,0,0
Botswana,CAF,149,1,1,0,0,0,0,0,0,0
Ethiopia,CAF,137,1,1,0,0,0,0,0,0,0
Liberia,CAF,150,1,1,0,0,0,0,0,0,0
Eswatini,CAF,146,1,1,0,0,0,0,0,0,0
Gambia,CAF,147,1,1,0,0,0,0,0,0,0
South Sudan,CAF,167,1,1,0,0,0,0,0,0,0
Mauritius,CAF,172,1,1,0,0,0,0,0,0,0
Chad,CAF,180,1,1,0,0,0,0,0,0,0
Djibouti,CAF,188,1,1,0,0,0,0,0,0,0
Sao Tome and Principe,CAF,191,1,1,0,0,0,0,0,0,0
Somalia,CAF,195,1,1,0,0,0,0,0,0,0
Seychelles,CAF,199,1,1,0,0,0,0,0,0,0
Eritrea,CAF,203,1,1,0,0,0,0,0,0,0
Mexico,CONCACAF,9,1,1,0,0,0,0,0,0,0
USA,CONCACAF,13,1,1,0,0,0,0,0,0,0
Jamaica,CONCACAF,59,1,1,0,0,0,0,0,0,0
Costa Rica,CONCACAF,45,1,1,0,0,0,0,0,0,0
Honduras,CONCACAF,68,1,1,0,0,0,0,0,0,0
El Salvador,CONCACAF,65,1,1,0,0,0,0,0,0,0
Canada,CONCACAF,48,1,1,0,0,0,0,0,0,0
Curacao,CONCACAF,81,1,1,0,0,0,0,0,0,0
Panama,CONCACAF,69,1,1,0,0,0,0,0,0,0
Haiti,CONCACAF,86,1,1,0,0,0,0,0,0,0
Trinidad and Tobago,CONCACAF,101,1,1,0,0,0,0,0,0,0
Antigua and Barbuda,CONCACAF,128,1,1,0,0,0,0,0,0,0
Guatemala,CONCACAF,124,1,1,0,0,0,0,0,0,0
St. Kitts and Nevis,CONCACAF,138,1,1,0,0,0,0,0,0,0
Suriname,CONCACAF,139,1,1,0,0,0,0,0,0,0
Nicaragua,CONCACAF,143,1,1,0,0,0,0,0,0,0
Dominican Republic,CONCACAF,157,1,1,0,0,0,0,0,0,0
Grenada,CONCACAF,168,1,1,0,0,0,0,0,0,0
Barbados,CONCACAF,162,1,1,0,0,0,0,0,0,0
Guyana,CONCACAF,176,1,1,0,0,0,0,0,0,0
St. Vincent and the Grenadines,CONCACAF,175,1,1,0,0,0,0,0,0,0
Bermuda,CONCACAF,166,1,1,0,0,0,0,0,0,0
Belize,CONCACAF,171,1,1,0,0,0,0,0,0,0
St. Lucia,CONCACAF,177,1,1,0,0,0,0,0,0,0
Puerto Rico,CONCACAF,174,1,1,0,0,0,0,0,0,0
Cuba,CONCACAF,179,1,1,0,0,0,0,0,0,0
Montserrat,CONCACAF,178,1,1,0,0,0,0,0,0,0
Dominica,CONCACAF,183,1,1,0,0,0,0,0,0,0
Cayman Islands,CONCACAF,196,1,1,0,0,0,0,0,0,0
Bahamas,CONCACAF,202,1,1,0,0,0,0,0,0,0
Aruba,CONCACAF,201,1,1,0,0,0,0,0,0,0
Turks and Caicos Islands,CONCACAF,205,1,1,0,0,0,0,0,0,0
US Virgin Islands,CONCACAF,207,1,1,0,0,0,0,0,0,0
British Virgin Islands,CONCACAF,208,1,1,0,0,0,0,0,0,0
Anguilla,CONCACAF,209,1,1,0,0,0,0,0,0,0
Brazil,CONMEBOL,2,1,1,0,0,0,0,0,0,0
Argentina,CONMEBOL,6,1,1,0,0,0,0,0,0,0
Uruguay,CONMEBOL,15,1,1,0,0,0,0,0,0,0
Colombia,CONMEBOL,16,1,1,0,0,0,0,0,0,0
Chile,CONMEBOL,21,1,1,0,0,0,0,0,0,0
Peru,CONMEBOL,24,1,1,0,0,0,0,0,0,0
Venezuela,CONMEBOL,50,1,1,0,0,0,0,0,0,0
Paraguay,CONMEBOL,38,1,1,0,0,0,0,0,0,0
Ecuador,CONMEBOL,55,1,1,0,0,0,0,0,0,0
Bolivia,CONMEBOL,78,1,1,0,0,0,0,0,0,0
New Zealand,OFC,111,1,1,0,0,0,0,0,0,0
Solomon Islands,OFC,140,1,1,0,0,0,0,0,0,0
New Caledonia,OFC,154,1,1,0,0,0,0,0,0,0
Tahiti,OFC,159,1,1,0,0,0,0,0,0,0
Fiji,OFC,161,1,1,0,0,0,0,0,0,0
Vanuatu,OFC,163,1,1,0,0,0,0,0,0,0
Papua New Guinea,OFC,164,1,1,0,0,0,0,0,0,0
American Samoa,OFC,192,1,1,0,0,0,0,0,0,0
Samoa,OFC,193,1,1,0,0,0,0,0,0,0
Tonga,OFC,200,1,1,0,0,0,0,0,0,0
Cook Islands,OFC,211,1,1,0,0,0,0,0,0,0
Belgium,UEFA,1,1,1,0,0,0,0,0,0,0
France,UEFA,3,1,1,0,0,0,0,0,0,0
England,UEFA,5,1,1,0,0,0,0,0,0,0
Portugal,UEFA,8,1,1,0,0,0,0,0,0,0
Spain,UEFA,7,1,1,0,0,0,0,0,0,0
Italy,UEFA,4,1,1,0,0,0,0,0,0,0
Croatia,UEFA,18,1,1,0,0,0,0,0,0,0
Denmark,UEFA,10,1,1,0,0,0,0,0,0,0
Germany,UEFA,12,1,1,0,0,0,0,0,0,0
Netherlands,UEFA,11,1,1,0,0,0,0,0,0,0
Switzerland,UEFA,14,1,1,0,0,0,0,0,0,0
Wales,UEFA,19,1,1,0,0,0,0,0,0,0
Poland,UEFA,23,1,1,0,0,0,0,0,0,0
Sweden,UEFA,17,1,1,0,0,0,0,0,0,0
Austria,UEFA,32,1,1,0,0,0,0,0,0,0
Ukraine,UEFA,26,1,1,0,0,0,0,0,0,0
Serbia,UEFA,25,1,1,0,0,0,0,0,0,0
Turkey,UEFA,39,1,1,0,0,0,0,0,0,0
Slovakia,UEFA,40,1,1,0,0,0,0,0,0,0
Romania,UEFA,41,1,1,0,0,0,0,0,0,0
Russia,UEFA,33,1,1,0,0,0,0,0,0,0
Hungary,UEFA,43,1,1,0,0,0,0,0,0,0
Czechia,UEFA,31,1,1,0,0,0,0,0,0,0
Republic of Ireland,UEFA,51,1,1,0,0,0,0,0,0,0
Norway,UEFA,37,1,1,0,0,0,0,0,0,0
Northern Ireland,UEFA,58,1,1,0,0,0,0,0,0,0
Iceland,UEFA,62,1,1,0,0,0,0,0,0,0
Scotland,UEFA,42,1,1,0,0,0,0,0,0,0
Greece,UEFA,47,1,1,0,0,0,0,0,0,0
Finland,UEFA,60,1,1,0,0,0,0,0,0,0
Bosnia and Herzegovina,UEFA,56,1,1,0,0,0,0,0,0,0
Slovenia,UEFA,64,1,1,0,0,0,0,0,0,0
Montenegro,UEFA,73,1,1,0,0,0,0,0,0,0
North Macedonia,UEFA,74,1,1,0,0,0,0,0,0,0
Albania,UEFA,63,1,1,0,0,0,0,0,0,0
Bulgaria,UEFA,70,1,1,0,0,0,0,0,0,0
Israel,UEFA,80,1,1,0,0,0,0,0,0,0
Belarus,UEFA,95,1,1,0,0,0,0,0,0,0
Georgia,UEFA,93,1,1,0,0,0,0,0,0,0
Luxembourg,UEFA,94,1,1,0,0,0,0,0,0,0
Armenia,UEFA,89,1,1,0,0,0,0,0,0,0
Cyprus,UEFA,103,1,1,0,0,0,0,0,0,0
Faroe Islands,UEFA,116,1,1,0,0,0,0,0,0,0
Azerbaijan,UEFA,119,1,1,0,0,0,0,0,0,0
Estonia,UEFA,105,1,1,0,0,0,0,0,0,0
Kosovo,UEFA,113,1,1,0,0,0,0,0,0,0
Kazakhstan,UEFA,125,1,1,0,0,0,0,0,0,0
Lithuania,UEFA,135,1,1,0,0,0,0,0,0,0
Latvia,UEFA,136,1,1,0,0,0,0,0,0,0
Andorra,UEFA,153,1,1,0,0,0,0,0,0,0
Malta,UEFA,173,1,1,0,0,0,0,0,0,0
Moldova,UEFA,181,1,1,0,0,0,0,0,0,0
Liechtenstein,UEFA,190,1,1,0,0,0,0,0,0,0
Gibraltar,UEFA,198,1,1,0,0,0,0,0,0,0
San Marino,UEFA,210,1,1,0,0,0,0,0,0,0
